filename,image_path,ground_truth_mm,predicted_mm,predicted_px,abs_error_mm,signed_error_mm,point_8_x,point_8_y,point_8_conf,point_13_x,point_13_y,point_13_conf
TE15_TAM16_25C_to_18C_wing_F8_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F8_251117_001.TIF,1.404,0.8812642796872214,712.061537987275,0.5227357203127785,-0.5227357203127785,697.39013671875,527.6636962890625,0.7637090086936951,77.95227813720703,176.4822998046875,0.8923129439353943
TE15_TAM16_25C_to_18C_wing_F6_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F6_251117_001.TIF,1.415,0.9517769784641235,769.0357985990117,0.4632230215358766,-0.4632230215358766,725.0927124023438,256.2354736328125,0.9843260645866394,0.0,0.0,0.2894827127456665
TE15_TAM16_18C_wing_F1_251117_001,data/raw/images/TE15_TAM16_18C_wing_F1_251117_001.TIF,1.436,1.0611634448402971,857.42006343096,0.3748365551597028,-0.3748365551597028,635.28076171875,575.8363647460938,0.9841011166572571,0.0,0.0,0.24000698328018188
TE14_zi134_18C_F_wing_16_250815_001,data/raw/images/TE14_zi134_18C_F_wing_16_250815_001.TIF,1.221,1.568562270180121,1267.3983143055377,0.34756227018012087,0.34756227018012087,1076.0885009765625,854.7421875,0.8752145767211914,0.0,185.1661834716797,0.8596804738044739
TE15_TAM16_18C_wing_F3_251117_001,data/raw/images/TE15_TAM16_18C_wing_F3_251117_001.TIF,1.411,1.091787975500143,882.1646842041156,0.3192120244998571,-0.3192120244998571,478.0631408691406,596.3440551757812,0.7280701994895935,1360.0,616.3916625976562,0.9854878783226013
TE15_TAM16_25C_wing_F14_251117_001,data/raw/images/TE15_TAM16_25C_wing_F14_251117_001.TIF,1.244,0.9352574464253793,755.6880167117065,0.30874255357462066,-0.30874255357462066,540.267333984375,555.8381958007812,0.9823176860809326,1173.544677734375,143.49830627441406,0.9859316349029541
TE15_TAM16_18C_wing_F2_251117_001,data/raw/images/TE15_TAM16_18C_wing_F2_251117_001.TIF,1.425,1.1283908879934361,911.7398374986964,0.2966091120065639,-0.2966091120065639,611.08349609375,748.0966796875,0.9654162526130676,1179.9769287109375,35.6152458190918,0.9590290784835815
TE15_TAM16_25C_wing_F2_251117_001,data/raw/images/TE15_TAM16_25C_wing_F2_251117_001.TIF,1.26,0.9862535856181363,796.892897179454,0.27374641438186376,-0.27374641438186376,685.6019897460938,643.87841796875,0.8802158236503601,55.10350799560547,156.5284881591797,0.9048573970794678
TE15_TAM16_25C_wing_F3_251117_001,data/raw/images/TE15_TAM16_25C_wing_F3_251117_001.TIF,1.279,1.0110991920232932,816.9681471548209,0.2679008079767067,-0.2679008079767067,822.7894897460938,386.7547607421875,0.9582791328430176,182.0102081298828,893.5474853515625,0.90017169713974
TE15_TAM16_25C_wing_F16_251117_001,data/raw/images/TE15_TAM16_25C_wing_F16_251117_001.TIF,1.272,1.0203820689262773,824.4687116924321,0.25161793107372277,-0.25161793107372277,539.1394653320312,518.7376708984375,0.9876232147216797,1279.2647705078125,155.4702911376953,0.9923301339149475
