filename,image_path,ground_truth_mm,predicted_mm,predicted_px,abs_error_mm,signed_error_mm,point_8_x,point_8_y,point_8_conf,point_13_x,point_13_y,point_13_conf
TE15_TAM16_25C_to_18C_wing_F14_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F14_251117_001.TIF,1.434,0.8775093151812473,709.0275266664478,0.5564906848187526,-0.5564906848187526,766.8345947265625,556.995361328125,0.9209035634994507,164.6358642578125,182.72711181640625,0.7266384363174438
TE15_TAM16_25C_to_18C_wing_F3_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F3_251117_001.TIF,1.418,0.9793738224874697,791.3340485698756,0.4386261775125302,-0.4386261775125302,900.988037109375,571.8543701171875,0.9854170680046082,257.8778076171875,110.74829864501953,0.8364134430885315
TE15_TAM16_25C_to_18C_wing_F13_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F13_251117_001.TIF,1.413,1.0537042705203783,851.3930505804657,0.35929572947962174,-0.35929572947962174,472.67132568359375,373.4000549316406,0.9505653381347656,1200.196044921875,815.6419677734375,0.9531128406524658
TE14_zi134_18C_F_wing_16_250815_001,data/raw/images/TE14_zi134_18C_F_wing_16_250815_001.TIF,1.221,1.5797054904537677,1276.4020362866443,0.35870549045376765,0.35870549045376765,1082.41162109375,893.36376953125,0.9919471144676208,0.0,216.9118194580078,0.848922848701477
TE15_TAM16_25C_to_18C_wing_F11_251117_002,data/raw/images/TE15_TAM16_25C_to_18C_wing_F11_251117_002.TIF,1.413,1.0622137754051895,858.2687305273931,0.35078622459481057,-0.35078622459481057,838.7215576171875,711.1237182617188,0.9751148819923401,248.6687774658203,87.85577392578125,0.8955445885658264
TE15_TAM16_25C_to_18C_wing_F16_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F16_251117_001.TIF,1.412,1.0640192751447173,859.7275743169316,0.34798072485528264,-0.34798072485528264,758.5496826171875,696.3988647460938,0.9880642294883728,87.69390106201172,158.7335205078125,0.7597016096115112
TE15_TAM16_18C_wing_F11_251117_001,data/raw/images/TE15_TAM16_18C_wing_F11_251117_001.TIF,1.422,1.0815876204584975,873.922797330466,0.3404123795415024,-0.3404123795415024,984.0446166992188,446.2496643066406,0.9889578819274902,162.8175048828125,745.1260375976562,0.5823651552200317
TE15_TAM16_25C_to_18C_wing_F6_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F6_251117_001.TIF,1.415,1.0839508590695863,875.8322941282258,0.3310491409304137,-0.3310491409304137,852.0614013671875,202.66616821289062,0.9723278880119324,0.0,0.0,0.2722015976905823
TE15_TAM16_25C_to_18C_wing_F1_251117_001,data/raw/images/TE15_TAM16_25C_to_18C_wing_F1_251117_001.TIF,1.413,1.0982869440331835,887.4158507788123,0.31471305596681654,-0.31471305596681654,730.470947265625,738.7474975585938,0.8730288743972778,105.24514770507812,108.9859619140625,0.8700975775718689
TE15_TAM16_25C_wing_F7_251117_001,data/raw/images/TE15_TAM16_25C_wing_F7_251117_001.TIF,1.252,0.9450424235062052,763.5942781930138,0.30695757649379485,-0.30695757649379485,930.1569213867188,620.3452758789062,0.9634410738945007,167.75112915039062,662.9320068359375,0.752370297908783
